VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
2,2019-01-31 22:45:07,2019-01-31 22:56:15,N,1,255,25,2,3.83,13.5,0.5,0.5,0.0,0.0,,0.30000000000000004,14.8,2,1,0
2,2019-01-31 22:59:31,2019-01-31 23:09:11,N,1,65,181,2,1.35,8.0,0.5,0.5,1.0,0.0,,0.30000000000000004,10.3,1,1,0
2,2019-01-31 22:16:54,2019-01-31 22:25:19,N,1,185,51,1,4.01,13.0,0.5,0.5,0.0,0.0,,0.30000000000000004,14.3,1,1,0
2,2019-01-31 22:24:01,2019-01-31 22:29:30,N,1,75,238,1,1.3,6.5,0.5,0.5,1.17,0.0,,0.30000000000000004,8.97,1,1,0
2,2019-01-31 22:59:14,2019-01-31 23:10:48,N,1,75,168,1,3.26,11.5,0.5,0.5,2.56,0.0,,0.30000000000000004,15.36,1,1,0
2,2019-01-31 22:34:30,2019-01-31 22:41:06,N,1,74,152,1,1.21,6.5,0.5,0.5,1.56,0.0,,0.30000000000000004,9.36,1,1,0
2,2019-01-31 21:14:25,2019-01-31 21:18:55,N,1,17,17,1,0.92,5.0,0.5,0.5,0.0,0.0,,0.30000000000000004,6.3,1,1,0
2,2019-01-31 22:33:40,2019-01-31 22:40:30,N,1,255,112,1,1.53,7.0,0.5,0.5,1.66,0.0,,0.30000000000000004,9.96,1,1,0
2,2019-01-31 22:37:38,2019-01-31 22:54:52,N,1,95,10,1,5.28,19.0,0.5,0.5,3.0,0.0,,0.30000000000000004,23.3,1,1,0
2,2019-01-31 22:51:06,2019-01-31 23:18:37,N,5,29,216,1,14.18,38.1,0.0,0.5,0.0,0.0,,0.0,38.6,1,2,0
