vendor_i_d,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,ratecode_i_d,pu_location_id,do_location_id,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge,trip_durasi
2,2019-01-31 22:45:07,2019-01-31 22:56:15,N,1,255,25,2,6.1637722,13.5,0.5,0.5,0.0,0.0,,0.3,14.8,Cash,1,0,11.133333333333333
2,2019-01-31 22:59:31,2019-01-31 23:09:11,N,1,65,181,2,2.172609,8.0,0.5,0.5,1.0,0.0,,0.3,10.3,Credit Card,1,0,9.666666666666666
2,2019-01-31 22:16:54,2019-01-31 22:25:19,N,1,185,51,1,6.4534534,13.0,0.5,0.5,0.0,0.0,,0.3,14.3,Credit Card,1,0,8.416666666666666
2,2019-01-31 22:24:01,2019-01-31 22:29:30,N,1,75,238,1,2.092142,6.5,0.5,0.5,1.17,0.0,,0.3,8.97,Credit Card,1,0,5.483333333333333
2,2019-01-31 22:59:14,2019-01-31 23:10:48,N,1,75,168,1,5.246448399999999,11.5,0.5,0.5,2.56,0.0,,0.3,15.36,Credit Card,1,0,11.566666666666666
2,2019-01-31 22:34:30,2019-01-31 22:41:06,N,1,74,152,1,1.9473014,6.5,0.5,0.5,1.56,0.0,,0.3,9.36,Credit Card,1,0,6.6
2,2019-01-31 21:14:25,2019-01-31 21:18:55,N,1,17,17,1,1.4805928000000002,5.0,0.5,0.5,0.0,0.0,,0.3,6.3,Credit Card,1,0,4.5
2,2019-01-31 22:33:40,2019-01-31 22:40:30,N,1,255,112,1,2.4622902,7.0,0.5,0.5,1.66,0.0,,0.3,9.96,Credit Card,1,0,6.833333333333333
2,2019-01-31 22:37:38,2019-01-31 22:54:52,N,1,95,10,1,8.497315200000001,19.0,0.5,0.5,3.0,0.0,,0.3,23.3,Credit Card,1,0,17.233333333333334
2,2019-01-31 22:51:06,2019-01-31 23:18:37,N,5,29,216,1,22.8204412,38.1,0.0,0.5,0.0,0.0,,0.0,38.6,Credit Card,2,0,27.516666666666666
2,2019-01-31 22:20:12,2019-01-31 22:27:21,N,1,33,65,1,1.7541806000000002,7.0,0.5,0.5,0.0,0.0,,0.3,8.3,Cash,1,0,7.15
2,2019-01-31 22:13:04,2019-01-31 22:39:08,N,5,197,17,1,12.2148906,23.06,0.0,0.5,0.0,0.0,,0.0,23.56,Credit Card,2,0,26.066666666666666
2,2019-01-31 22:34:57,2019-01-31 22:50:40,N,1,191,222,1,21.0179804,35.5,0.5,0.5,0.0,0.0,,0.3,36.8,Credit Card,1,0,15.716666666666667
2,2019-01-31 22:02:11,2019-01-31 22:19:38,N,1,75,141,1,5.0533276,14.0,0.5,0.5,0.0,0.0,,0.3,15.3,Cash,1,0,17.45
2,2019-01-31 22:53:49,2019-01-31 23:15:52,N,1,226,14,1,22.8365346,39.0,0.5,0.5,0.0,0.0,,0.3,40.3,Cash,1,0,22.05
2,2019-01-31 22:25:03,2019-01-31 22:32:54,N,1,146,112,1,3.3313338,9.0,0.5,0.5,2.06,0.0,,0.3,12.36,Credit Card,1,0,7.85
2,2019-01-31 22:38:46,2019-01-31 22:49:36,N,1,112,146,1,3.5727348,10.5,0.5,0.5,0.0,0.0,,0.3,11.8,Cash,1,0,10.833333333333334
2,2019-01-31 22:35:09,2019-01-31 22:53:25,N,1,66,255,2,6.9523488,16.5,0.5,0.5,1.0,0.0,,0.3,18.8,Credit Card,1,0,18.266666666666666
2,2019-01-31 22:34:36,2019-01-31 22:48:12,N,1,256,17,1,4.8119266000000005,11.5,0.5,0.5,2.56,0.0,,0.3,15.36,Credit Card,1,0,13.6
