vendor_i_d,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,ratecode_i_d,pu_location_id,do_location_id,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge,trip_durasi
2,2019-01-10 16:01:37,2019-01-10 16:10:51,N,1,126,167,1,2.0277684,7.5,1.0,0.5,0.0,0.0,,0.3,9.3,Credit Card,1,,9.233333333333333
2,2019-01-10 16:49:40,2019-01-10 17:10:10,N,1,242,32,1,4.5383388,14.5,1.0,0.5,0.0,0.0,,0.3,16.3,Credit Card,1,,20.5
2,2019-01-10 15:17:54,2019-01-11 14:42:37,N,5,243,169,1,4.3130312,12.0,0.0,0.0,0.0,0.0,,0.0,12.0,Cash,2,,1404.7166666666667
1,2019-01-10 16:02:16,2019-01-10 16:13:58,N,1,42,41,4,2.2530759999999996,9.5,1.0,0.5,0.0,0.0,,0.3,11.3,Cash,1,,11.7
1,2019-01-10 16:18:49,2019-01-10 16:24:14,N,1,166,116,1,1.60934,5.5,1.0,0.5,0.0,0.0,,0.3,7.3,Cash,1,,5.416666666666667
1,2019-01-10 16:34:21,2019-01-10 16:49:43,N,1,244,43,1,9.495106,18.5,1.0,0.5,0.0,0.0,,0.3,20.3,Cash,1,,15.366666666666667
2,2019-01-10 16:19:59,2019-01-10 16:23:38,N,1,42,42,1,0.8529502,4.5,1.0,0.5,0.0,0.0,,0.3,6.3,Cash,1,,3.65
2,2019-01-10 16:27:08,2019-01-10 16:43:14,N,1,42,74,1,2.6071308,11.0,1.0,0.5,2.56,0.0,,0.3,15.36,Credit Card,1,,16.1
2,2019-01-10 16:55:12,2019-01-10 17:02:02,N,1,74,41,1,0.9012304000000001,6.0,1.0,0.5,0.0,0.0,,0.3,7.8,Cash,1,,6.833333333333333
2,2019-01-10 16:03:27,2019-01-10 16:49:38,N,1,173,139,1,15.674971600000001,34.5,1.0,0.5,0.0,0.0,,0.3,36.3,Cash,1,,46.18333333333333
2,2019-01-10 16:14:07,2019-01-10 16:28:03,N,1,177,62,1,2.7197846,10.5,1.0,0.5,0.0,0.0,,0.3,12.3,Credit Card,1,,13.933333333333334
2,2019-01-10 16:45:12,2019-01-10 16:46:51,N,1,49,49,1,0.2735878,3.0,1.0,0.5,0.0,0.0,,0.3,4.8,Cash,1,,1.65
2,2019-01-10 16:47:27,2019-01-10 17:00:00,N,1,49,217,1,2.8002516,10.0,1.0,0.5,0.0,0.0,,0.3,11.8,Cash,1,,12.55
2,2019-01-10 16:08:24,2019-01-10 16:40:33,N,1,75,243,1,8.2559142,22.5,1.0,0.5,4.86,0.0,,0.3,29.16,Credit Card,1,,32.15
2,2019-01-10 16:56:07,2019-01-10 17:06:01,N,1,42,41,1,2.3496364,8.0,1.0,0.5,0.0,0.0,,0.3,9.8,Cash,1,,9.9
2,2019-01-10 16:07:46,2019-01-10 16:44:04,N,5,20,41,1,9.8813476,24.04,0.0,0.5,0.0,0.0,,0.0,24.54,Credit Card,2,,36.3
2,2019-01-10 16:42:11,2019-01-10 16:59:40,N,1,41,143,1,4.7958332,13.5,1.0,0.5,3.06,0.0,,0.3,18.36,Credit Card,1,,17.483333333333334
2,2019-01-10 16:35:10,2019-01-10 16:56:32,N,1,242,174,1,7.161563,18.0,1.0,0.5,0.0,0.0,,0.3,19.8,Credit Card,1,,21.366666666666667
2,2019-01-10 16:20:59,2019-01-10 16:24:51,N,1,223,223,1,1.1104446,5.0,1.0,0.5,1.36,0.0,,0.3,8.16,Credit Card,1,,3.8666666666666667
2,2019-01-10 16:31:20,2019-01-10 16:45:01,N,1,75,42,1,3.4761744,10.5,1.0,0.5,0.0,0.0,,0.3,12.3,Cash,1,,13.683333333333334
2,2019-01-10 16:01:32,2019-01-10 16:13:00,N,1,95,121,1,4.345218,11.5,1.0,0.5,2.66,0.0,,0.3,15.96,Credit Card,1,,11.466666666666667
1,2019-01-10 16:42:39,2019-01-10 17:10:35,N,1,42,68,1,11.426314,26.0,1.0,0.5,2.2,0.0,,0.3,30.0,Credit Card,1,,27.933333333333334
2,2019-01-10 16:14:58,2019-01-10 16:25:35,N,1,42,152,1,2.011675,8.5,1.0,0.5,0.0,0.0,,0.3,10.3,Cash,1,,10.616666666666667
2,2019-01-10 16:31:29,2019-01-10 16:39:41,N,1,74,75,1,1.8990212,7.0,1.0,0.5,0.0,0.0,,0.3,8.8,Cash,1,,8.2
2,2019-01-10 16:47:40,2019-01-10 16:58:32,N,1,74,42,1,1.7702740000000001,8.5,1.0,0.5,0.0,0.0,,0.3,10.3,Cash,1,,10.866666666666667
1,2019-01-10 16:14:44,2019-01-10 17:20:33,N,1,157,26,1,20.438617999999998,46.5,1.0,0.5,0.0,0.0,,0.3,48.3,Credit Card,1,,65.81666666666666
2,2019-01-10 16:10:37,2019-01-10 16:12:39,N,1,166,151,1,0.5954558,3.5,1.0,0.5,0.0,0.0,,0.3,5.3,Cash,1,,2.033333333333333
2,2019-01-10 16:19:05,2019-01-10 16:24:34,N,1,166,151,1,1.6737136000000001,6.0,1.0,0.5,1.56,0.0,,0.3,9.36,Credit Card,1,,5.483333333333333
2,2019-01-10 17:00:09,2019-01-10 17:04:26,N,1,43,236,1,1.6415268,5.5,1.0,0.5,1.46,0.0,,0.3,8.76,Credit Card,1,,4.283333333333333
2,2019-01-10 16:27:34,2019-01-10 16:33:34,N,1,95,95,5,1.4805928000000002,6.0,1.0,0.5,0.0,0.0,,0.3,7.8,Cash,1,,6.0
1,2019-01-10 16:07:12,2019-01-10 16:09:37,N,1,52,52,1,0.16093400000000002,3.5,1.0,0.5,0.0,0.0,,0.3,5.3,Cash,1,,2.4166666666666665
2,2019-01-10 16:04:37,2019-01-10 16:37:26,N,5,242,82,1,20.5351784,30.26,0.0,0.5,0.0,5.76,,0.0,36.52,Credit Card,2,,32.81666666666667
2,2019-01-10 16:09:07,2019-01-10 16:18:53,N,5,74,42,1,2.9611856000000003,9.0,0.0,0.0,0.0,0.0,,0.0,9.0,Cash,2,,9.766666666666667
2,2019-01-10 16:24:13,2019-01-10 16:30:00,N,1,42,41,1,1.6576202,6.0,1.0,0.5,1.95,0.0,,0.3,9.75,Credit Card,1,,5.783333333333333
2,2019-01-10 16:33:33,2019-01-10 16:42:15,N,1,41,75,1,3.0255592,8.5,1.0,0.5,0.0,0.0,,0.3,10.3,Cash,1,,8.7
2,2019-01-10 16:04:18,2019-01-10 16:21:27,N,1,43,141,1,3.4118008,12.0,1.0,0.5,0.0,0.0,,0.3,13.8,Cash,1,,17.15
2,2019-01-10 16:31:22,2019-01-10 16:38:47,N,1,75,238,6,2.2047958000000003,7.5,1.0,0.5,0.0,0.0,,0.3,9.3,Cash,1,,7.416666666666667
2,2019-01-10 16:52:35,2019-01-10 17:06:31,N,1,75,152,6,4.6831794,12.0,1.0,0.5,2.8,0.0,,0.3,16.6,Credit Card,1,,13.933333333333334
2,2019-01-10 16:05:51,2019-01-10 16:19:03,N,1,121,122,1,4.908487,11.5,1.0,0.5,0.0,0.0,,0.3,13.3,Credit Card,1,,13.2
2,2019-01-10 16:21:35,2019-01-10 16:33:03,N,1,62,181,1,1.9312079999999998,9.0,1.0,0.5,0.0,0.0,,0.3,10.8,Credit Card,1,,11.466666666666667
2,2019-01-10 16:30:20,2019-01-10 16:35:37,N,1,97,97,1,1.528873,5.5,1.0,0.5,0.0,0.0,,0.3,7.3,Cash,1,,5.283333333333333
2,2019-01-10 16:53:12,2019-01-10 17:06:56,N,1,66,40,1,3.21868,10.0,1.0,0.5,2.95,0.0,,0.3,14.75,Credit Card,1,,13.733333333333333
2,2019-01-10 16:16:38,2019-01-10 16:26:36,N,1,95,95,1,1.0782578,7.5,1.0,0.5,0.0,0.0,,0.3,9.3,Cash,1,,9.966666666666667
2,2019-01-10 16:06:25,2019-01-10 16:18:24,N,1,74,75,1,2.0599552,9.0,1.0,0.5,0.0,0.0,,0.3,10.8,Credit Card,1,,11.983333333333333
2,2019-01-10 16:21:05,2019-01-10 16:35:46,N,1,75,41,1,3.0738393999999998,9.5,1.0,0.5,0.0,0.0,,0.3,11.3,Cash,1,,14.683333333333334
2,2019-01-10 16:48:15,2019-01-10 17:09:53,N,1,42,41,1,4.2647509999999995,13.5,1.0,0.5,0.0,0.0,,0.3,15.3,Cash,1,,21.633333333333333
2,2019-01-10 16:56:28,2019-01-10 17:10:29,N,1,75,41,1,2.7036911999999997,9.5,1.0,0.5,0.0,0.0,,0.3,11.3,Cash,1,,14.016666666666667
2,2019-01-10 16:21:10,2019-01-10 16:38:37,N,1,152,43,1,3.8141358000000003,12.5,1.0,0.5,0.0,0.0,,0.3,14.3,Cash,1,,17.45
1,2019-01-10 16:10:54,2019-01-10 16:53:07,N,1,181,35,2,8.207633999999999,27.0,1.0,0.5,0.0,0.0,,0.3,28.8,Credit Card,1,,42.21666666666667
