vendor_i_d,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,ratecode_i_d,pu_location_id,do_location_id,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge,trip_durasi
2,2019-01-21 19:14:36,2019-01-21 19:20:16,N,1,146,7,1,1.6737136000000001,5.5,0.0,0.5,1.58,0.0,,0.3,7.88,Credit Card,1,,5.666666666666667
2,2019-01-21 19:15:57,2019-01-21 19:19:02,N,1,7,7,1,0.9173237999999999,4.5,0.0,0.5,0.0,0.0,,0.3,5.3,Cash,1,,3.0833333333333335
2,2019-01-21 19:52:43,2019-01-21 19:56:49,N,1,82,82,1,0.9334172,4.5,0.0,0.5,1.0,0.0,,0.3,6.3,Credit Card,1,,4.1
2,2019-01-21 19:09:54,2019-01-21 19:21:53,N,1,72,76,1,4.9889540000000006,12.5,0.0,0.5,0.0,0.0,,0.3,13.3,Credit Card,1,,11.983333333333333
2,2019-01-21 19:36:58,2019-01-21 19:40:38,N,1,116,116,1,1.1909116,4.5,0.0,0.5,0.0,0.0,,0.3,5.3,Cash,1,,3.6666666666666665
2,2019-01-21 19:07:24,2019-01-21 19:11:57,N,1,7,7,1,1.3035654,5.0,0.0,0.5,1.16,0.0,,0.3,6.96,Credit Card,1,,4.55
2,2019-01-21 19:09:53,2019-01-21 19:16:16,N,1,7,7,1,1.6737136000000001,6.5,0.0,0.5,0.0,0.0,,0.3,7.3,Cash,1,,6.383333333333334
2,2019-01-21 19:56:25,2019-01-21 20:01:56,N,1,193,146,1,1.7702740000000001,5.5,0.0,0.5,1.26,0.0,,0.3,9.51,Credit Card,1,,5.516666666666667
2,2019-01-21 19:31:23,2019-01-21 19:42:36,N,1,74,243,1,8.5455954,16.5,0.0,0.5,3.46,0.0,,0.3,20.76,Credit Card,1,,11.216666666666667
2,2019-01-21 18:58:05,2019-01-21 19:09:54,N,1,255,148,5,4.5383388,12.0,1.0,0.5,0.0,0.0,,0.3,13.8,Cash,1,,11.816666666666666
2,2019-01-21 19:43:31,2019-01-21 19:56:59,N,1,256,37,5,3.6692951999999996,11.0,1.0,0.5,3.0,0.0,,0.3,17.75,Credit Card,1,,13.466666666666667
2,2019-01-21 19:22:38,2019-01-21 19:31:13,N,1,179,129,1,4.184284,10.0,0.0,0.5,0.0,0.0,,0.3,10.8,Cash,1,,8.583333333333334
2,2019-01-21 19:29:57,2019-01-21 19:34:32,N,1,181,181,1,1.3518455999999999,5.0,1.0,0.5,0.0,0.0,,0.3,6.8,Cash,1,,4.583333333333333
2,2019-01-21 19:37:24,2019-01-21 19:44:25,N,1,181,97,1,2.0599552,7.0,1.0,0.5,0.0,0.0,,0.3,8.8,Cash,1,,7.016666666666667
2,2019-01-21 19:49:38,2019-01-21 20:01:46,N,1,25,188,1,5.0050474,12.0,1.0,0.5,0.0,0.0,,0.3,13.8,Cash,1,,12.133333333333333
2,2019-01-21 19:25:33,2019-01-21 19:54:10,N,1,95,37,1,8.690436,21.5,0.0,0.5,0.0,0.0,,0.3,22.3,Cash,1,,28.616666666666667
2,2019-01-21 19:35:50,2019-01-21 19:51:52,N,1,7,145,1,3.7336688,12.0,0.0,0.5,0.0,0.0,,0.3,12.8,Cash,1,,16.033333333333335
2,2019-01-21 19:25:58,2019-01-21 19:29:33,N,1,193,7,1,1.6576202,5.5,0.0,0.5,0.0,0.0,,0.3,6.3,Cash,1,,3.5833333333333335
2,2019-01-21 19:32:43,2019-01-21 19:47:59,N,1,41,140,1,6.6465742,15.0,0.0,0.5,0.0,0.0,,0.3,15.8,Cash,1,,15.266666666666667
2,2019-01-21 20:00:28,2019-01-21 20:10:04,N,1,74,151,2,2.5910374000000003,8.5,0.0,0.5,2.0,0.0,,0.3,11.3,Credit Card,1,,9.6
2,2019-01-21 20:24:17,2019-01-21 20:38:01,N,1,244,263,1,11.1688196,20.5,0.0,0.5,4.26,0.0,,0.3,25.56,Credit Card,1,,13.733333333333333
2,2019-01-21 19:03:56,2019-01-21 19:11:21,N,1,95,135,1,3.0094658,8.0,0.0,0.5,1.76,0.0,,0.3,10.56,Credit Card,1,,7.416666666666667
2,2019-01-21 19:33:54,2019-01-21 19:35:41,N,1,83,83,1,0.48280199999999995,3.5,0.0,0.5,1.08,0.0,,0.3,5.38,Credit Card,1,,1.7833333333333334
2,2019-01-21 20:01:24,2019-01-21 20:10:14,N,1,74,24,1,3.138213,8.5,0.0,0.5,1.86,0.0,,0.3,11.16,Credit Card,1,,8.833333333333334
2,2019-01-21 19:07:31,2019-01-21 19:16:34,N,1,95,131,1,6.1476787999999996,12.5,0.0,0.5,0.0,0.0,,0.3,13.3,Cash,1,,9.05
2,2019-01-21 19:30:48,2019-01-21 19:36:12,N,1,95,196,1,1.9794882,6.0,0.0,0.5,0.0,0.0,,0.3,6.8,Cash,1,,5.4
2,2019-01-21 19:32:57,2019-01-21 19:38:23,N,1,41,42,1,2.2691694,7.0,0.0,0.5,0.0,0.0,,0.3,7.8,Cash,1,,5.433333333333334
